Timestamp,Throughput,LossRate,Latency,SendingRate,CCAs
2024-05-30 07:36:41,9069003,0.0034533278489542,0.0002651966102055,441188.576607832,2
2024-05-30 07:36:42,11320464,0.00031052853617,0.0002789111992022,436995.206318087,2
2024-05-30 07:36:43,10438632,0.0001719345683624,0.00025781430256,493798.421227813,2
2024-05-30 07:36:44,10012920,0.0001219677703418,0.0002818313443776,466062.67046806,2
2024-05-30 07:36:45,10120072,9.49845642716e-05,0.0002702249536317,484496.201038269,2
2024-05-30 07:36:46,9115160,7.83849625227e-05,0.000272210461,480218.383660792,2
2024-05-30 07:36:47,8819768,6.74370144337e-05,0.0002733847619691,463188.116861194,2
2024-05-30 07:36:48,9522048,5.90295486322e-05,0.0002660778217653,571538.524758311,2
2024-05-30 07:36:49,9099232,5.23834664169e-05,0.0002846676054715,601120.65563861,2
2024-05-30 07:36:50,8877688,4.72521896239e-05,0.0002693114493057,590414.673324069,2
2024-05-30 07:36:51,7406288,4.33946610305e-05,0.0002695369668964,529230.531397701,2
2024-05-30 07:36:52,7668840,4.03540311265e-05,0.0002675729941807,612860.801627044,2
2024-05-30 07:36:53,7531048,3.76897920218e-05,0.0002770914215346,740788.066769328,2
2024-05-30 07:36:54,7394936,3.53953784071e-05,0.0002540841891872,705727.276355372,2
2024-05-30 07:36:55,6951848,3.3438081851e-05,0.0002650598958845,732259.136127465,2
2024-05-30 07:36:56,6330656,3.18092840465e-05,0.0002780175926693,722867.453733235,2
2024-05-30 07:36:57,5884672,3.04457217536e-05,0.0002704633318859,677627.455914646,2
2024-05-30 07:36:58,5363392,2.92896309947e-05,0.0002756866999433,805457.546598124,2
2024-05-30 07:36:59,5311264,2.82715021764e-05,0.000253443181152,860604.979617961,2
2024-05-30 07:37:01,5401040,2.63754127233e-05,0.0004132051501124,833632.53237092,2
2024-05-30 07:37:02,5057864,2.55629545298e-05,0.0001293783387834,777561.265101166,2
2024-05-30 07:37:03,5348912,2.48031080984e-05,0.0001320198231446,791966.950122642,2
2024-05-30 07:37:04,5101304,2.40838721014e-05,0.0001379186553466,790369.037352521,2
2024-05-30 07:37:05,5538600,2.33936409621e-05,0.0001445331864367,780343.419753714,2
2024-05-30 07:37:06,5412624,2.27230257226e-05,0.0001469902660224,758450.945337605,2
2024-05-30 07:37:07,5321400,2.21021015027e-05,0.000160716759418,845866.856995483,2
2024-05-30 07:37:08,5683400,2.14999380931e-05,0.0001624938218166,821530.989553974,2
2024-05-30 07:37:09,5282304,2.09313393828e-05,0.0001488575871022,840709.874516416,2
2024-05-30 07:37:10,5545840,2.03989108833e-05,0.0001608749320256,823198.906871357,2
2024-05-30 07:37:11,5474888,1.98839973437e-05,0.000167163741661,838579.146231799,2
2024-05-30 07:37:12,5364840,1.94023313794e-05,0.0001903247468906,800380.690710556,2
2024-05-30 07:37:13,5569008,1.8939608444e-05,0.0001854262004989,823891.904775777,2
2024-05-30 07:37:14,5332984,1.84995596657e-05,0.0001981700382969,846311.419748995,2
2024-05-30 07:37:15,5224384,1.80925127839e-05,0.0001916241313393,900435.543900989,2
